step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.77441,0.41986,,
2,3.75945,0.39407,,
3,3.7153,0.48,,
4,3.85056,0.45742,,
5,3.69449,0.42489,,
6,3.70792,0.42446,,
7,3.44688,0.43813,,
8,3.47942,0.45187,,
9,3.26381,0.48864,,
10,2.93709,0.48708,,
11,2.89676,0.43949,,
12,2.74636,0.5,,
13,2.68935,0.474,,
14,2.51732,0.525,,
15,2.55247,0.49869,,
16,2.20352,0.53814,,
17,2.30192,0.47379,,
18,2.24117,0.49054,,
19,2.05643,0.5378,,
20,2.21009,0.50478,,
21,2.06119,0.52914,,
22,2.02264,0.52723,,
23,2.22719,0.53056,,
24,2.41724,0.45794,,
25,2.06211,0.51069,,
26,1.90696,0.52019,,
27,1.98735,0.51852,,
28,1.95087,0.51979,,
29,1.79497,0.56422,,
30,1.98485,0.51092,,
31,1.92698,0.53627,,
32,1.80151,0.55924,,
33,1.89808,0.56198,,
34,1.80415,0.5612,,
35,1.76772,0.54292,,
36,1.75049,0.54267,,
37,1.74887,0.57108,,
38,1.94867,0.55263,,
39,1.86174,0.54336,,
40,1.82426,0.56471,,
41,1.9186,0.53913,,
42,1.92373,0.56481,,
43,1.85046,0.53147,,
44,1.92441,0.51711,,
45,2.08081,0.5192,,
46,1.82853,0.54133,,
47,1.72207,0.54066,,
48,2.16409,0.51782,,
49,1.83034,0.53741,,
50,1.71706,0.58156,,
51,2.05975,0.47778,,
52,1.88064,0.50754,,
53,1.9715,0.52556,,
54,1.79519,0.57311,,
55,1.64836,0.5525,,
56,1.9232,0.529,,
57,1.75181,0.5553,,
58,1.73466,0.56703,,
59,1.85269,0.54225,,
60,1.92565,0.52589,,
61,1.97071,0.51807,,
62,1.67254,0.5601,,
63,1.99153,0.52529,,
64,1.97109,0.51946,,
65,1.91747,0.56421,,
66,1.86073,0.55876,,
67,1.85503,0.51537,,
68,2.01435,0.49786,,
69,1.80597,0.54015,,
70,1.70949,0.57384,,
71,1.88833,0.51316,,
72,1.78259,0.54132,,
73,2.04805,0.48082,,
74,1.87081,0.50129,,
75,1.65827,0.58667,,
76,1.93688,0.52204,,
77,1.6863,0.57037,,
78,1.89845,0.54818,,
79,1.87137,0.52229,,
80,1.8509,0.53581,,
81,1.48345,0.60453,,
82,1.89118,0.53788,,
83,2.06976,0.52655,,
84,1.80988,0.53435,,
85,1.80721,0.55635,,
86,1.93149,0.52505,,
87,1.7582,0.58808,,
88,1.91261,0.53373,,
89,1.79156,0.56997,,
90,1.76764,0.57315,,
91,1.99771,0.55616,,
92,1.80737,0.54826,,
93,1.85064,0.51372,,
94,1.7778,0.55833,,
95,1.76611,0.58994,,
96,1.72945,0.56416,,
97,1.85992,0.53966,,
98,1.9256,0.50805,,
99,1.86971,0.55916,,
100,1.75453,0.56802,1.8462,0.53862
101,1.73817,0.57583,,
102,1.91599,0.55629,,
103,1.78478,0.55784,,
104,2.18973,0.49472,,
105,1.85513,0.53477,,
106,1.67122,0.56798,,
107,1.94889,0.54058,,
108,1.92969,0.54681,,
109,1.89849,0.53659,,
110,1.752,0.59069,,
111,1.59647,0.58278,,
112,1.8523,0.51916,,
113,1.90696,0.53316,,
114,1.97576,0.53684,,
115,1.738,0.58145,,
116,1.85918,0.53623,,
117,2.07877,0.50575,,
118,1.71168,0.56433,,
119,1.72205,0.57143,,
120,1.84339,0.59302,,
121,1.72482,0.57245,,
122,1.70988,0.54936,,
123,1.71374,0.56156,,
124,1.74546,0.55145,,
125,1.68816,0.56161,,
126,1.63688,0.58519,,
127,1.92396,0.53591,,
128,2.05925,0.50542,,
129,1.79329,0.55922,,
130,1.77029,0.54241,,
131,1.9868,0.54358,,
132,1.83613,0.5531,,
133,1.79419,0.57447,,
134,1.76725,0.55583,,
135,1.79323,0.56854,,
136,1.73404,0.59864,,
137,1.6698,0.58333,,
138,1.7336,0.55946,,
139,1.7214,0.56385,,
140,1.82409,0.50954,,
141,1.8246,0.54106,,
142,1.8014,0.51991,,
143,1.80503,0.5678,,
144,1.85549,0.53488,,
145,1.8945,0.50388,,
146,1.84657,0.54907,,
147,1.75214,0.54011,,
148,1.77598,0.54783,,
149,1.82616,0.55255,,
150,2.01202,0.51676,,
151,1.53302,0.62581,,
152,1.88049,0.54428,,
153,1.82759,0.54741,,
154,1.89042,0.53254,,
155,1.69768,0.5863,,
156,1.90375,0.52807,,
157,1.65755,0.58313,,
158,1.67219,0.58459,,
159,1.98116,0.50935,,
160,1.86317,0.52918,,
161,2.16996,0.52358,,
162,1.77342,0.57246,,
163,1.8438,0.54252,,
164,1.66353,0.57528,,
165,1.87279,0.53769,,
166,1.86077,0.52211,,
167,1.88385,0.56432,,
168,1.77549,0.52886,,
169,1.90653,0.51816,,
170,1.87482,0.52863,,
171,1.87945,0.53407,,
172,2.01853,0.51765,,
173,1.85636,0.53858,,
174,1.83092,0.56881,,
175,1.89396,0.52109,,
176,1.9813,0.52988,,
177,1.91499,0.54177,,
178,1.87573,0.49874,,
179,1.88516,0.54067,,
180,1.66221,0.5613,,
181,1.81204,0.55138,,
182,1.56014,0.59079,,
183,1.64922,0.58266,,
184,1.78284,0.56064,,
185,1.82579,0.52749,,
186,1.63083,0.60071,,
187,1.76405,0.53957,,
188,1.89274,0.52841,,
189,1.78732,0.55991,,
190,1.96515,0.52586,,
191,1.63468,0.56892,,
192,1.70001,0.57,,
193,1.76487,0.52333,,
194,1.9011,0.55556,,
195,1.74139,0.56047,,
196,1.72545,0.57051,,
197,1.81764,0.54667,,
198,1.84884,0.51852,,
199,2.07738,0.52278,,
200,2.06183,0.51441,1.78602,0.5
201,1.91777,0.54025,,
202,1.82487,0.52048,,
203,1.82859,0.53804,,
204,1.83862,0.55063,,
205,1.78962,0.52955,,
206,1.72087,0.57474,,
207,1.72488,0.57474,,
208,1.73892,0.58537,,
209,1.67755,0.56858,,
210,1.80122,0.56376,,
211,1.87541,0.56319,,
212,1.52574,0.60135,,
213,1.48673,0.63389,,
214,1.76519,0.58738,,
215,1.80251,0.58,,
216,1.66046,0.57653,,
217,1.62847,0.60945,,
218,1.75195,0.57393,,
219,1.94308,0.54795,,
220,1.67382,0.58793,,
221,1.71105,0.57214,,
222,1.85194,0.55303,,
223,1.70824,0.56941,,
224,1.90628,0.50627,,
225,1.70665,0.54922,,
226,1.85513,0.55388,,
227,1.56929,0.57991,,
228,1.77886,0.54986,,
229,1.65814,0.60358,,
230,1.84887,0.53885,,
231,1.82493,0.54523,,
232,1.78916,0.56579,,
233,1.62441,0.55708,,
234,1.85595,0.57692,,
235,1.66427,0.58333,,
236,1.9311,0.52956,,
237,1.785,0.54821,,
238,1.97008,0.51508,,
239,1.88438,0.5305,,
240,1.83504,0.53893,,
241,1.54397,0.58641,,
242,1.89814,0.52888,,
243,1.63839,0.58046,,
244,1.85557,0.54943,,
245,1.60201,0.59806,,
246,1.69609,0.57556,,
247,1.99772,0.50358,,
248,1.98138,0.53047,,
249,1.87174,0.51189,,
250,1.59877,0.56739,,
251,1.64229,0.60674,,
252,1.92156,0.53699,,
253,1.92593,0.53264,,
254,1.798,0.53028,,
255,1.74413,0.5726,,
256,1.48294,0.6105,,
257,1.85597,0.51036,,
258,1.60711,0.58356,,
259,1.86857,0.55285,,
260,1.86838,0.53985,,
261,1.83177,0.53234,,
262,1.67022,0.59629,,
263,1.65003,0.56858,,
264,1.99333,0.53582,,
265,1.82197,0.51462,,
266,1.7877,0.57627,,
267,1.69689,0.54795,,
268,1.92779,0.53415,,
269,1.9294,0.50111,,
270,2.01054,0.50097,,
271,1.83716,0.55948,,
272,1.93189,0.54326,,
273,1.88233,0.55506,,
274,1.8866,0.52546,,
275,1.74078,0.59623,,
276,1.81355,0.52911,,
277,1.77546,0.56347,,
278,1.74501,0.59494,,
279,1.73806,0.55556,,
280,1.84935,0.5486,,
281,2.18186,0.51601,,
282,1.75418,0.57546,,
283,1.52831,0.59033,,
284,1.77697,0.58118,,
285,1.86913,0.54902,,
286,1.91164,0.54336,,
287,1.65431,0.59318,,
288,1.84503,0.56529,,
289,1.79732,0.58266,,
290,1.81359,0.54036,,
291,1.81584,0.55376,,
292,1.72442,0.5573,,
293,1.89555,0.53753,,
294,2.07199,0.51889,,
295,1.6515,0.58944,,
296,1.8967,0.52211,,
297,1.83092,0.55164,,
298,1.74478,0.56674,,
299,1.6882,0.54359,,
300,1.68983,0.56854,1.85471,0.52105
301,1.59979,0.58351,,
302,1.8952,0.54187,,
303,1.68762,0.5614,,
304,1.90263,0.57871,,
305,1.67166,0.58269,,
306,2.21071,0.50463,,
307,1.75127,0.54009,,
308,1.74336,0.56982,,
309,1.81284,0.55471,,
310,1.7447,0.56874,,
311,1.6781,0.59833,,
312,1.83069,0.5732,,
313,1.58,0.59529,,
314,1.58351,0.60247,,
315,2.03217,0.53827,,
316,1.92462,0.52225,,
317,1.60053,0.566,,
318,1.8662,0.55076,,
319,1.73503,0.58659,,
320,1.6795,0.55947,,
321,1.66116,0.56888,,
322,1.82295,0.57675,,
323,1.90485,0.55249,,
324,1.72797,0.59137,,
325,1.77148,0.54115,,
326,1.62955,0.57353,,
327,1.77066,0.57796,,
328,1.73331,0.55952,,
329,1.74931,0.57333,,
330,1.9287,0.52488,,
331,1.63905,0.56845,,
332,1.79647,0.592,,
333,1.75231,0.554,,
334,1.84494,0.55866,,
335,1.9592,0.53529,,
336,1.80914,0.56846,,
337,1.68267,0.58367,,
338,1.76559,0.54183,,
339,1.64455,0.59477,,
340,1.77457,0.58191,,
341,1.85384,0.52735,,
342,1.75402,0.5534,,
343,1.71407,0.55508,,
344,1.91364,0.54367,,
345,1.75937,0.55024,,
346,1.87221,0.5383,,
347,1.70196,0.57671,,
348,1.97975,0.55234,,
349,1.63219,0.59895,,
350,1.94752,0.51621,,
351,1.66295,0.58545,,
352,1.78897,0.52709,,
353,1.78386,0.56793,,
354,1.77719,0.54386,,
355,1.91028,0.55556,,
356,1.79363,0.57584,,
357,1.71127,0.58637,,
358,1.77507,0.59188,,
359,1.74743,0.58313,,
360,1.61994,0.5678,,
361,1.64584,0.5732,,
362,1.84603,0.54455,,
363,1.81561,0.55079,,
364,1.73294,0.55856,,
365,1.60901,0.59868,,
366,1.76935,0.58851,,
367,1.75117,0.54601,,
368,1.9157,0.53933,,
369,1.84977,0.56787,,
370,1.94905,0.5,,
371,1.70881,0.56637,,
372,1.8938,0.53361,,
373,1.85815,0.54005,,
374,1.83481,0.56331,,
375,1.66017,0.5697,,
376,1.85367,0.56415,,
377,1.82519,0.53215,,
378,1.76204,0.55269,,
379,1.68209,0.56805,,
380,1.56524,0.60097,,
381,1.79186,0.51972,,
382,1.70689,0.57558,,
383,1.72791,0.54415,,
384,1.47951,0.61803,,
385,1.74261,0.53209,,
386,1.57665,0.58969,,
387,1.76889,0.5792,,
388,1.94715,0.55062,,
389,1.81173,0.5553,,
390,1.79597,0.55531,,
391,1.77202,0.53369,,
392,1.54555,0.63173,,
393,1.55667,0.64,,
394,1.91615,0.56168,,
395,1.72817,0.57865,,
396,1.66049,0.57682,,
397,1.59615,0.59446,,
398,1.69075,0.58072,,
399,1.85077,0.56376,,
400,1.67784,0.55708,2.14168,0.51259
401,1.72335,0.55993,,
402,1.78712,0.54167,,
403,1.64672,0.60686,,
404,1.54524,0.59601,,
405,1.7489,0.55429,,
406,1.74856,0.57642,,
407,1.82594,0.55556,,
408,1.7123,0.58855,,
409,1.86723,0.53134,,
410,1.70395,0.59591,,
411,1.56052,0.59905,,
412,1.94522,0.51748,,
413,1.83409,0.54005,,
414,1.95164,0.53119,,
415,1.86529,0.55992,,
416,1.96477,0.53425,,
417,1.624,0.59633,,
418,1.70481,0.56195,,
419,1.73397,0.55699,,
420,1.8123,0.56857,,
421,1.69903,0.53687,,
422,1.66107,0.55814,,
423,1.78417,0.54593,,
424,1.8201,0.57343,,
425,1.77539,0.54491,,
426,1.63721,0.5847,,
427,1.71018,0.55307,,
428,1.6419,0.55609,,
429,2.11263,0.52431,,
430,1.84372,0.56512,,
431,1.7679,0.52148,,
432,1.63743,0.57666,,
433,1.90124,0.54817,,
434,1.62713,0.57227,,
435,1.7274,0.56728,,
436,1.81132,0.54242,,
437,1.58675,0.57598,,
438,1.46526,0.62438,,
439,1.79664,0.54148,,
440,1.55549,0.58491,,
441,1.79213,0.55224,,
442,1.95095,0.51313,,
443,1.65072,0.57482,,
444,1.7422,0.54728,,
445,1.81799,0.55112,,
446,1.97837,0.51954,,
447,1.66153,0.60131,,
448,1.903,0.56776,,
449,1.77633,0.57181,,
450,1.85174,0.55556,,
451,1.85472,0.54845,,
452,1.8972,0.50957,,
453,1.71048,0.53022,,
454,1.90307,0.5286,,
455,1.79764,0.53996,,
456,2.09949,0.49822,,
457,1.79378,0.54141,,
458,1.87229,0.53363,,
459,1.67005,0.54663,,
460,1.75227,0.57391,,
461,1.64889,0.58333,,
462,1.70807,0.58738,,
463,1.88186,0.54181,,
464,1.67728,0.56768,,
465,1.73531,0.5692,,
466,1.84333,0.55896,,
467,1.58415,0.6063,,
468,1.68876,0.57244,,
469,1.72555,0.55125,,
470,1.86581,0.53978,,
471,1.76517,0.5492,,
472,1.43845,0.63797,,
473,1.77281,0.55392,,
474,1.75632,0.55846,,
475,1.78855,0.51507,,
476,1.83689,0.55453,,
477,1.8869,0.54297,,
478,1.70064,0.55182,,
479,1.79542,0.56595,,
